Name,ParamName,Prefix
MXGetGPUMemoryInformation,free_mem,out
MXGetGPUMemoryInformation,total_mem,out
MXGetGPUMemoryInformation64,free_mem,out
MXGetGPUMemoryInformation64,total_mem,out
MXFuncGetInfo,name,out
MXFuncGetInfo,num_args,out
MXFuncGetInfo,arg_names,out
MXFuncGetInfo,arg_type_infos,out
MXFuncGetInfo,arg_descriptions,out
MXFuncGetInfo,return_type,out
MXFuncDescribe,num_use_vars,out
MXFuncDescribe,num_scalars,out
MXFuncDescribe,num_mutate_vars,out
MXFuncDescribe,type_mask,out
MXImperativeInvoke,num_outputs,ref
MXImperativeInvoke,outputs,ref
MXImperativeInvokeEx,num_outputs,ref
MXImperativeInvokeEx,outputs,ref
MXSymbolGetAtomicSymbolName,name,out
MXSymbolGetInputSymbols,inputs,out
MXSymbolCutSubgraph,inputs,out
MXSymbolGetAtomicSymbolInfo,name,out
MXSymbolGetAtomicSymbolInfo,description,out
MXSymbolGetAtomicSymbolInfo,num_args,out
MXSymbolGetAtomicSymbolInfo,arg_names,out
MXSymbolGetAtomicSymbolInfo,arg_type_infos,out
MXSymbolGetAtomicSymbolInfo,arg_descriptions,out
MXSymbolGetAtomicSymbolInfo,key_var_num_args,out
MXSymbolGetAtomicSymbolInfo,return_type,out
MXSymbolGetName,success,out
MXSymbolGetAttr,success,out
MXSymbolGetNumOutputs,output_count,out
MXSymbolInferShape64,complete,out
MXSymbolInferShapeEx,complete,out
MXSymbolInferShapeEx64,complete,out
MXSymbolInferShapePartial,complete,out
MXSymbolInferShapePartial64,complete,out
MXSymbolInferShapePartialEx,complete,out
MXSymbolInferShapePartialEx64,complete,out
MXSymbolInferType,complete,out
MXSymbolInferTypePartial,complete,out
MXGenBackendSubgraph,ret_sym_handle,out
MXGenAtomicSymbolFromSymbol,ret_sym_handle,out
MXDataIterGetIterInfo,name,out
MXDataIterGetIterInfo,num_args,out
MXDataIterGetIterInfo,arg_names,out
MXDataIterGetIterInfo,arg_type_infos,out
MXDataIterGetIterInfo,arg_descriptions,out
MXDataIterGetPadNum,pad,out
